,Unnamed: 0,tweet_text,emotion_in_tweet_is_directed_at,is_there_an_emotion_directed_at_a_brand_or_product,entities,sentiment_prediction
17,17,I just noticed DST is coming this weekend. How many iPhone users will be an hour late at SXSW come Sunday morning? #SXSW #iPhone,iPhone,0,"[{""word"": ""\u0120SX"", ""entity"": ""B-event""}, {""word"": ""SW"", ""entity"": ""I-event""}, {""word"": ""S"", ""entity"": ""B-event""}, {""word"": ""X"", ""entity"": ""I-event""}, {""word"": ""SW"", ""entity"": ""I-event""}]",1
18,18,"Just added my #SXSW flights to @planely. Matching people on planes/airports. Also downloaded the @KLM iPhone app, nicely done.",iPad or iPhone App,2,"[{""word"": ""\u0120#"", ""entity"": ""B-event""}, {""word"": ""S"", ""entity"": ""B-event""}, {""word"": ""X"", ""entity"": ""I-event""}, {""word"": ""SW"", ""entity"": ""I-event""}, {""word"": ""\u0120@"", ""entity"": ""B-corporation""}, {""word"": ""plane"", ""entity"": ""I-corporation""}, {""word"": ""ly"", ""entity"": ""I-corporation""}, {""word"": ""\u0120@"", ""entity"": ""B-corporation""}, {""word"": ""K"", ""entity"": ""I-corporation""}, {""word"": ""LM"", ""entity"": ""I-corporation""}]",2
19,19,Must have #SXSW app! RT @malbonster: Lovely review from Forbes for our SXSW iPad app Holler Gram - http://t.co/g4GZypV,iPad or iPhone App,2,"[{""word"": ""S"", ""entity"": ""B-event""}, {""word"": ""X"", ""entity"": ""I-event""}, {""word"": ""SW"", ""entity"": ""I-event""}, {""word"": ""bon"", ""entity"": ""I-person""}, {""word"": ""ster"", ""entity"": ""I-person""}, {""word"": ""\u0120Forbes"", ""entity"": ""B-corporation""}, {""word"": ""\u0120SX"", ""entity"": ""B-event""}, {""word"": ""SW"", ""entity"": ""I-event""}, {""word"": ""\u0120iPad"", ""entity"": ""B-product""}, {""word"": ""\u0120Holl"", ""entity"": ""B-product""}, {""word"": ""er"", ""entity"": ""I-product""}, {""word"": ""\u0120Gram"", ""entity"": ""I-product""}]",2
20,20,Need to buy an iPad2 while I'm in Austin at #sxsw. Not sure if I'll need to Q up at an Austin Apple store?,iPad,2,"[{""word"": ""\u0120iPad"", ""entity"": ""B-product""}, {""word"": ""2"", ""entity"": ""I-product""}, {""word"": ""\u0120Austin"", ""entity"": ""B-location""}, {""word"": ""x"", ""entity"": ""I-location""}, {""word"": ""sw"", ""entity"": ""I-location""}, {""word"": ""\u0120Austin"", ""entity"": ""B-location""}, {""word"": ""\u0120Apple"", ""entity"": ""B-corporation""}]",1
21,21,"Oh. My. God. The #SXSW app for iPad is pure, unadulterated awesome. It's easier to browse events on iPad than on the website!!!",iPad or iPhone App,2,"[{""word"": ""\u0120#"", ""entity"": ""B-event""}, {""word"": ""S"", ""entity"": ""I-event""}, {""word"": ""X"", ""entity"": ""I-event""}, {""word"": ""SW"", ""entity"": ""I-event""}, {""word"": ""\u0120iPad"", ""entity"": ""B-product""}, {""word"": ""\u0120iPad"", ""entity"": ""B-product""}]",2
22,22,"Okay, this is really it: yay new @Foursquare for #Android app!!!!11 kthxbai. #sxsw",Android App,2,"[{""word"": ""\u0120@"", ""entity"": ""B-product""}, {""word"": ""F"", ""entity"": ""I-product""}, {""word"": ""ours"", ""entity"": ""I-product""}, {""word"": ""qu"", ""entity"": ""I-product""}, {""word"": ""are"", ""entity"": ""I-product""}, {""word"": ""Android"", ""entity"": ""B-product""}]",2
23,23,"Photo: Just installed the #SXSW iPhone app, which is really nice! http://tumblr.com/x6t1pi6av7",iPad or iPhone App,2,"[{""word"": ""S"", ""entity"": ""I-corporation""}, {""word"": ""X"", ""entity"": ""I-event""}, {""word"": ""SW"", ""entity"": ""I-event""}, {""word"": ""\u0120iPhone"", ""entity"": ""B-product""}]",2
24,24,Really enjoying the changes in Gowalla 3.0 for Android! Looking forward to seeing what else they &amp; Foursquare have up their sleeves at #SXSW,Android App,2,"[{""word"": ""\u0120Gow"", ""entity"": ""B-product""}, {""word"": ""alla"", ""entity"": ""I-product""}, {""word"": ""\u01203"", ""entity"": ""I-product""}, {""word"": ""."", ""entity"": ""I-product""}, {""word"": ""0"", ""entity"": ""I-product""}, {""word"": ""\u0120Android"", ""entity"": ""B-product""}, {""word"": ""\u0120F"", ""entity"": ""B-corporation""}, {""word"": ""ours"", ""entity"": ""I-corporation""}, {""word"": ""qu"", ""entity"": ""I-corporation""}, {""word"": ""are"", ""entity"": ""I-corporation""}, {""word"": ""\u0120#"", ""entity"": ""B-event""}, {""word"": ""S"", ""entity"": ""I-event""}, {""word"": ""X"", ""entity"": ""I-event""}, {""word"": ""SW"", ""entity"": ""I-event""}]",2
25,25,"RT @LaurieShook: I'm looking forward to the #SMCDallas pre #SXSW party Wed., and hoping I'll win an #iPad resulting from my shameless promotion.  #ChevySMC",iPad,2,"[{""word"": ""\u0120@"", ""entity"": ""B-person""}, {""word"": ""L"", ""entity"": ""B-person""}, {""word"": ""aur"", ""entity"": ""I-person""}, {""word"": ""ie"", ""entity"": ""I-person""}, {""word"": ""Sh"", ""entity"": ""I-person""}, {""word"": ""ook"", ""entity"": ""I-person""}, {""word"": ""\u0120#"", ""entity"": ""B-event""}, {""word"": ""SM"", ""entity"": ""B-event""}, {""word"": ""CD"", ""entity"": ""I-event""}, {""word"": ""allas"", ""entity"": ""I-event""}, {""word"": ""\u0120#"", ""entity"": ""B-event""}, {""word"": ""S"", ""entity"": ""I-event""}, {""word"": ""X"", ""entity"": ""I-event""}, {""word"": ""SW"", ""entity"": ""I-event""}, {""word"": ""\u0120party"", ""entity"": ""I-event""}, {""word"": ""\u0120#"", ""entity"": ""B-product""}, {""word"": ""i"", ""entity"": ""I-product""}, {""word"": ""Pad"", ""entity"": ""I-product""}, {""word"": ""vy"", ""entity"": ""I-corporation""}, {""word"": ""S"", ""entity"": ""I-corporation""}, {""word"": ""MC"", ""entity"": ""I-corporation""}]",2
26,26,"RT haha, awesomely rad iPad app by @madebymany http://bit.ly/hTdFim #hollergram #sxsw (via @michaelpiliero)",iPad or iPhone App,2,"[{""word"": ""\u0120iPad"", ""entity"": ""B-product""}, {""word"": ""\u0120@"", ""entity"": ""B-corporation""}, {""word"": ""made"", ""entity"": ""I-corporation""}, {""word"": ""by"", ""entity"": ""I-corporation""}, {""word"": ""many"", ""entity"": ""I-corporation""}, {""word"": ""\u0120@"", ""entity"": ""B-person""}, {""word"": ""m"", ""entity"": ""I-person""}, {""word"": ""ichael"", ""entity"": ""I-person""}, {""word"": ""p"", ""entity"": ""I-person""}, {""word"": ""il"", ""entity"": ""I-person""}, {""word"": ""ier"", ""entity"": ""I-person""}, {""word"": ""o"", ""entity"": ""I-person""}]",2
27,27,"someone started an #austin @PartnerHub group in google groups, pre-#sxsw. great idea",Other Google product or service,2,"[{""word"": ""ust"", ""entity"": ""I-group""}, {""word"": ""in"", ""entity"": ""I-group""}, {""word"": ""\u0120@"", ""entity"": ""I-group""}, {""word"": ""Part"", ""entity"": ""I-group""}, {""word"": ""ner"", ""entity"": ""I-corporation""}, {""word"": ""Hub"", ""entity"": ""I-corporation""}, {""word"": ""\u0120google"", ""entity"": ""B-corporation""}]",2
28,28,The new #4sq3 looks like it is going to rock. Update for iPhone and Android should push tonight http://bit.ly/etsbZk #SXSW #KeepAustinWeird,iPad or iPhone App,2,"[{""word"": ""\u0120#"", ""entity"": ""B-product""}, {""word"": ""4"", ""entity"": ""I-product""}, {""word"": ""sq"", ""entity"": ""I-product""}, {""word"": ""3"", ""entity"": ""I-product""}, {""word"": ""\u0120iPhone"", ""entity"": ""B-product""}, {""word"": ""\u0120Android"", ""entity"": ""B-product""}, {""word"": ""S"", ""entity"": ""B-event""}, {""word"": ""X"", ""entity"": ""I-event""}]",2
29,29,"They were right, the @gowalla 3 app on #android is sweeeeet! Nice job by the team there. #sxsw",Android App,2,"[{""word"": ""\u0120@"", ""entity"": ""B-product""}, {""word"": ""gow"", ""entity"": ""I-product""}, {""word"": ""alla"", ""entity"": ""I-product""}, {""word"": ""\u01203"", ""entity"": ""I-product""}, {""word"": ""\u0120app"", ""entity"": ""I-product""}, {""word"": ""\u0120#"", ""entity"": ""B-product""}, {""word"": ""android"", ""entity"": ""I-product""}]",2
30,30,Very smart from @madebymany #hollergram iPad app for #sxsw! http://t.co/A3xvWc6 (may leave my vuvuzela at home now),iPad or iPhone App,2,"[{""word"": ""\u0120@"", ""entity"": ""B-corporation""}, {""word"": ""made"", ""entity"": ""I-corporation""}, {""word"": ""by"", ""entity"": ""I-corporation""}, {""word"": ""many"", ""entity"": ""I-corporation""}, {""word"": ""\u0120#"", ""entity"": ""B-product""}, {""word"": ""oller"", ""entity"": ""I-product""}, {""word"": ""gram"", ""entity"": ""I-product""}, {""word"": ""\u0120iPad"", ""entity"": ""B-product""}, {""word"": ""\u0120app"", ""entity"": ""I-product""}]",2
31,31,You must have this app for your iPad if you are going to #SXSW http://itunes.apple.com/us/app/holler-gram/id420666439?mt=8 #hollergram,iPad or iPhone App,2,"[{""word"": ""\u0120iPad"", ""entity"": ""B-product""}, {""word"": ""X"", ""entity"": ""I-event""}, {""word"": ""SW"", ""entity"": ""I-event""}, {""word"": ""it"", ""entity"": ""B-product""}, {""word"": ""unes"", ""entity"": ""I-product""}, {""word"": ""."", ""entity"": ""I-product""}, {""word"": ""apple"", ""entity"": ""I-product""}, {""word"": ""."", ""entity"": ""I-product""}, {""word"": ""com"", ""entity"": ""I-product""}]",2
36,36,The best!  RT @mention Ha! First in line for #ipad2 at #sxsw &quot;pop-up&quot; Apple store was an event planner #eventprofs #pcma #engage365,iPad,2,"[{""word"": ""\u0120@"", ""entity"": ""B-person""}, {""word"": ""ment"", ""entity"": ""I-person""}, {""word"": ""ion"", ""entity"": ""I-person""}, {""word"": ""\u0120Ha"", ""entity"": ""I-person""}, {""word"": ""ip"", ""entity"": ""B-event""}, {""word"": ""\u0120Apple"", ""entity"": ""B-corporation""}]",2
38,38,@mention  - False Alarm: Google Circles Not Coming Now���and Probably Not Ever? - {link} #Google #Circles #Social #SXSW,Google,0,"[{""word"": ""\u0120Google"", ""entity"": ""B-corporation""}, {""word"": ""Google"", ""entity"": ""B-corporation""}, {""word"": ""S"", ""entity"": ""B-event""}, {""word"": ""X"", ""entity"": ""I-event""}, {""word"": ""SW"", ""entity"": ""I-event""}]",0
40,40,@mention  - Great weather to greet you for #sxsw! Still need a sweater at night..Apple putting up &quot;flash store&quot; downtown to sell iPad2,Apple,2,"[{""word"": ""ion"", ""entity"": ""I-person""}, {""word"": ""Apple"", ""entity"": ""B-corporation""}, {""word"": ""\u0120iPad"", ""entity"": ""B-product""}, {""word"": ""2"", ""entity"": ""I-product""}]",2
45,45,#IPad2 's ���#SmartCover�۪ Opens to Instant Access - I should have waited to get one! - {link} #apple #SXSW,iPad or iPhone App,2,"[{""word"": ""IP"", ""entity"": ""B-product""}, {""word"": ""ad"", ""entity"": ""I-product""}, {""word"": ""2"", ""entity"": ""I-product""}, {""word"": ""s"", ""entity"": ""I-product""}, {""word"": ""Smart"", ""entity"": ""I-product""}, {""word"": ""Cover"", ""entity"": ""I-product""}, {""word"": ""apple"", ""entity"": ""B-corporation""}, {""word"": ""X"", ""entity"": ""I-event""}, {""word"": ""SW"", ""entity"": ""I-event""}]",2
46,46,HOORAY RT ���@mention Apple Is Opening A Pop-Up Store In Austin For #SXSW | @mention {link},Apple,2,"[{""word"": ""@"", ""entity"": ""I-corporation""}, {""word"": ""ment"", ""entity"": ""I-corporation""}, {""word"": ""ion"", ""entity"": ""I-corporation""}, {""word"": ""\u0120Apple"", ""entity"": ""I-corporation""}, {""word"": ""\u0120Austin"", ""entity"": ""B-location""}, {""word"": ""\u0120#"", ""entity"": ""B-event""}, {""word"": ""S"", ""entity"": ""B-event""}, {""word"": ""X"", ""entity"": ""I-event""}, {""word"": ""SW"", ""entity"": ""I-event""}, {""word"": ""\u0120@"", ""entity"": ""B-corporation""}, {""word"": ""ment"", ""entity"": ""I-corporation""}, {""word"": ""ion"", ""entity"": ""I-corporation""}]",2
48,48,wooooo!!! ���@mention Apple store downtown Austin open til Midnight. #sxsw�۝,Apple,2,"[{""word"": ""@"", ""entity"": ""I-corporation""}, {""word"": ""ment"", ""entity"": ""I-corporation""}, {""word"": ""ion"", ""entity"": ""I-corporation""}, {""word"": ""\u0120Apple"", ""entity"": ""I-corporation""}, {""word"": ""\u0120downtown"", ""entity"": ""B-location""}, {""word"": ""\u0120Austin"", ""entity"": ""B-location""}]",2
54,54,���@mention @mention talking about {link} - Google's effort to allow users to have open systems #bettercloud #sxsw�۝,Google,2,"[{""word"": ""@"", ""entity"": ""I-person""}, {""word"": ""ment"", ""entity"": ""I-person""}, {""word"": ""ion"", ""entity"": ""I-person""}, {""word"": ""\u0120@"", ""entity"": ""I-person""}, {""word"": ""ment"", ""entity"": ""I-person""}, {""word"": ""ion"", ""entity"": ""I-person""}, {""word"": ""\u0120{"", ""entity"": ""B-person""}, {""word"": ""}"", ""entity"": ""I-person""}, {""word"": ""\u0120Google"", ""entity"": ""B-corporation""}]",2
56,56,{link} RT @mention 1st stop on the #SXSW #Chaos &amp; @mention hunt: Austin Java. Get in the spy game 4 a chance 2 win an iPad!,iPad,2,"[{""word"": ""ment"", ""entity"": ""I-corporation""}, {""word"": ""ion"", ""entity"": ""I-corporation""}, {""word"": ""S"", ""entity"": ""B-event""}, {""word"": ""X"", ""entity"": ""I-event""}, {""word"": ""SW"", ""entity"": ""I-event""}, {""word"": ""\u0120Austin"", ""entity"": ""B-location""}, {""word"": ""\u0120Java"", ""entity"": ""I-location""}, {""word"": ""\u0120iPad"", ""entity"": ""B-product""}]",2
61,61,#OMFG! RT @mention Heard about Apple's pop-up store in downtown Austin? Pics are already on Gowalla: {link} #sxsw #iPad2,Apple,2,"[{""word"": ""\u0120@"", ""entity"": ""B-person""}, {""word"": ""ment"", ""entity"": ""I-person""}, {""word"": ""ion"", ""entity"": ""I-person""}, {""word"": ""\u0120Heard"", ""entity"": ""I-person""}, {""word"": ""\u0120Apple"", ""entity"": ""B-corporation""}, {""word"": ""\u0120downtown"", ""entity"": ""B-location""}, {""word"": ""\u0120Austin"", ""entity"": ""B-location""}, {""word"": ""\u0120Gow"", ""entity"": ""B-location""}, {""word"": ""alla"", ""entity"": ""I-location""}, {""word"": ""i"", ""entity"": ""B-product""}, {""word"": ""Pad"", ""entity"": ""I-product""}, {""word"": ""2"", ""entity"": ""I-product""}]",2
62,62,"#Smile RT @mention I think Apple's &quot;pop-up store&quot; in Austin would be a lot more interesting if it actually, you know... popped up #sxsw",Apple,1,"[{""word"": ""ment"", ""entity"": ""I-person""}, {""word"": ""ion"", ""entity"": ""I-person""}, {""word"": ""\u0120Apple"", ""entity"": ""B-corporation""}, {""word"": ""\u0120Austin"", ""entity"": ""B-location""}]",2
65,65,attending @mention iPad design headaches #sxsw {link},iPad,0,"[{""word"": ""\u0120@"", ""entity"": ""B-event""}, {""word"": ""ment"", ""entity"": ""I-corporation""}, {""word"": ""ion"", ""entity"": ""I-corporation""}, {""word"": ""\u0120iPad"", ""entity"": ""I-product""}]",1
66,66,Check out @mention @mention &amp; @mention in line for their iPad 2 in Austin. Power to them! #sxswi #SXSW  {link},iPad,2,"[{""word"": ""\u0120@"", ""entity"": ""B-corporation""}, {""word"": ""ment"", ""entity"": ""I-corporation""}, {""word"": ""ion"", ""entity"": ""I-corporation""}, {""word"": ""\u0120@"", ""entity"": ""I-corporation""}, {""word"": ""ment"", ""entity"": ""I-corporation""}, {""word"": ""ion"", ""entity"": ""I-corporation""}, {""word"": ""\u0120&"", ""entity"": ""I-corporation""}, {""word"": ""amp"", ""entity"": ""I-corporation""}, {""word"": "";"", ""entity"": ""I-person""}, {""word"": ""\u0120@"", ""entity"": ""B-corporation""}, {""word"": ""ment"", ""entity"": ""I-corporation""}, {""word"": ""ion"", ""entity"": ""I-corporation""}, {""word"": ""\u0120iPad"", ""entity"": ""B-product""}, {""word"": ""\u01202"", ""entity"": ""I-product""}, {""word"": ""\u0120Austin"", ""entity"": ""B-location""}, {""word"": ""s"", ""entity"": ""B-event""}, {""word"": ""x"", ""entity"": ""I-event""}, {""word"": ""sw"", ""entity"": ""I-event""}, {""word"": ""S"", ""entity"": ""B-event""}, {""word"": ""X"", ""entity"": ""I-event""}, {""word"": ""SW"", ""entity"": ""I-event""}]",2
69,69,"Do it. RT @mention Come party w/ Google tonight at #sxsw! {link} - Bands, food, art, ice cream, nifty interactive maps!",Google,2,"[{""word"": ""ment"", ""entity"": ""I-person""}, {""word"": ""ion"", ""entity"": ""I-person""}, {""word"": ""\u0120Google"", ""entity"": ""B-corporation""}, {""word"": ""s"", ""entity"": ""I-location""}, {""word"": ""x"", ""entity"": ""I-location""}, {""word"": ""sw"", ""entity"": ""I-location""}]",2
72,72,Holla! RT @mention At google party. Best ever! Get your butt over here. #sxsw,Google,2,"[{""word"": ""\u0120@"", ""entity"": ""B-person""}, {""word"": ""ment"", ""entity"": ""I-person""}, {""word"": ""ion"", ""entity"": ""I-person""}, {""word"": ""\u0120google"", ""entity"": ""B-event""}, {""word"": ""\u0120party"", ""entity"": ""I-event""}]",2
73,73,I love my @mention iPhone case from #Sxsw but I can't get my phone out of it #fail,iPhone,2,"[{""word"": ""\u0120@"", ""entity"": ""B-product""}, {""word"": ""ment"", ""entity"": ""I-corporation""}, {""word"": ""ion"", ""entity"": ""I-product""}, {""word"": ""\u0120iPhone"", ""entity"": ""I-product""}, {""word"": ""\u0120#"", ""entity"": ""B-corporation""}, {""word"": ""S"", ""entity"": ""I-corporation""}, {""word"": ""x"", ""entity"": ""I-corporation""}, {""word"": ""sw"", ""entity"": ""I-corporation""}]",2
77,77,New Post: @mention iPhone app makes it easy to connect on all social networks with people you meet  {link} #sxsw,iPad or iPhone App,2,"[{""word"": ""\u0120@"", ""entity"": ""B-product""}, {""word"": ""ment"", ""entity"": ""I-corporation""}, {""word"": ""ion"", ""entity"": ""I-corporation""}, {""word"": ""\u0120iPhone"", ""entity"": ""I-product""}, {""word"": ""\u0120app"", ""entity"": ""I-product""}]",2
